Date,Latitude,Longitude,Sea_Surface_Temperature,HotSpots,Degree_Heating_Weeks,Bleaching_Alert_Area
03/12/2013,24.750,-81.625,23.8005,0.0000,0.0000,0
03/13/2013,24.750,-81.625,23.5921,0.0000,0.0000,0
03/14/2013,24.750,-81.625,23.3375,0.0000,0.0000,0
03/15/2013,24.750,-81.625,23.6381,0.0000,0.0000,0
03/16/2013,24.750,-81.625,23.7074,0.0000,0.0000,0
03/17/2013,24.750,-81.625,23.4508,0.0000,0.0000,0
03/18/2013,24.750,-81.625,23.3062,0.0000,0.0000,0
03/19/2013,24.750,-81.625,23.3661,0.0000,0.0000,0
03/20/2013,24.750,-81.625,23.4452,0.0000,0.0000,0
03/21/2013,24.750,-81.625,23.2415,0.0000,0.0000,0
03/22/2013,24.750,-81.625,23.2728,0.0000,0.0000,0
03/23/2013,24.750,-81.625,24.1032,0.0000,0.0000,0
03/24/2013,24.750,-81.625,24.5484,0.0000,0.0000,0
03/25/2013,24.750,-81.625,25.0167,0.0000,0.0000,0
03/26/2013,24.750,-81.625,24.1188,0.0000,0.0000,0
03/27/2013,24.750,-81.625,23.4367,0.0000,0.0000,0
03/28/2013,24.750,-81.625,23.3598,0.0000,0.0000,0
03/29/2013,24.750,-81.625,23.5392,0.0000,0.0000,0
03/30/2013,24.750,-81.625,22.9509,0.0000,0.0000,0
03/31/2013,24.750,-81.625,22.6338,0.0000,0.0000,0
04/01/2013,24.750,-81.625,23.1751,0.0000,0.0000,0
04/02/2013,24.750,-81.625,23.6703,0.0000,0.0000,0
04/03/2013,24.750,-81.625,24.5042,0.0000,0.0000,0
04/04/2013,24.750,-81.625,24.7876,0.0000,0.0000,0
04/05/2013,24.750,-81.625,24.3571,0.0000,0.0000,0
04/06/2013,24.750,-81.625,23.9897,0.0000,0.0000,0
04/07/2013,24.750,-81.625,24.0322,0.0000,0.0000,0
04/08/2013,24.750,-81.625,23.9157,0.0000,0.0000,0
04/09/2013,24.750,-81.625,24.7003,0.0000,0.0000,0
04/10/2013,24.750,-81.625,24.8896,0.0000,0.0000,0
04/11/2013,24.750,-81.625,24.9703,0.0000,0.0000,0
04/12/2013,24.750,-81.625,25.2222,0.0000,0.0000,0
04/13/2013,24.750,-81.625,25.7029,0.0000,0.0000,0
04/14/2013,24.750,-81.625,26.4387,0.0000,0.0000,0
04/15/2013,24.750,-81.625,26.8105,0.0000,0.0000,0
04/16/2013,24.750,-81.625,27.1916,0.0000,0.0000,0
04/17/2013,24.750,-81.625,27.4159,0.0000,0.0000,0
04/18/2013,24.750,-81.625,26.7824,0.0000,0.0000,0
04/19/2013,24.750,-81.625,26.8420,0.0000,0.0000,0
04/20/2013,24.750,-81.625,26.9229,0.0000,0.0000,0
04/21/2013,24.750,-81.625,27.8812,0.0000,0.0000,0
04/22/2013,24.750,-81.625,26.6799,0.0000,0.0000,0
04/23/2013,24.750,-81.625,27.3118,0.0000,0.0000,0
04/24/2013,24.750,-81.625,26.9034,0.0000,0.0000,0
04/25/2013,24.750,-81.625,26.8578,0.0000,0.0000,0
04/26/2013,24.750,-81.625,26.7820,0.0000,0.0000,0
04/27/2013,24.750,-81.625,26.6052,0.0000,0.0000,0
04/28/2013,24.750,-81.625,26.4645,0.0000,0.0000,0
04/29/2013,24.750,-81.625,26.5964,0.0000,0.0000,0
04/30/2013,24.750,-81.625,26.7861,0.0000,0.0000,0
05/01/2013,24.750,-81.625,27.3476,0.0000,0.0000,0
05/02/2013,24.750,-81.625,27.2490,0.0000,0.0000,0
05/03/2013,24.750,-81.625,26.9163,0.0000,0.0000,0
05/04/2013,24.750,-81.625,26.7759,0.0000,0.0000,0
05/05/2013,24.750,-81.625,26.6367,0.0000,0.0000,0
05/06/2013,24.750,-81.625,26.2361,0.0000,0.0000,0
05/07/2013,24.750,-81.625,26.1573,0.0000,0.0000,0
05/08/2013,24.750,-81.625,26.1339,0.0000,0.0000,0
05/09/2013,24.750,-81.625,26.4076,0.0000,0.0000,0
05/10/2013,24.750,-81.625,27.3230,0.0000,0.0000,0
05/11/2013,24.750,-81.625,27.7680,0.0000,0.0000,0
05/12/2013,24.750,-81.625,28.0960,0.0000,0.0000,0
05/13/2013,24.750,-81.625,27.9597,0.0000,0.0000,0
05/14/2013,24.750,-81.625,27.8464,0.0000,0.0000,0
05/15/2013,24.750,-81.625,27.4703,0.0000,0.0000,0
05/16/2013,24.750,-81.625,27.1479,0.0000,0.0000,0
05/17/2013,24.750,-81.625,26.9004,0.0000,0.0000,0
